Curso;Id_MEC;Ano_avaliacao;Modalidade;Cidade;Campus;ODP;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;CDT;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;INF;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;CFC;CFA;;;;
GESTÃO E EMPREENDEDORISMO ;1614055;2023;Bacharelado ;Matinhos ;Campus Litoral;3,77    ;4,00;4,00;4,00;4,00;4,00;1,00;;;;4,00;5,00;4,00;5,00;;;5,00;;;4,00;1,00;;;;;4,73    ;5,00;5,00;4,00;4,00;4,00;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;3,00;3,00;4,00;4,00;5,00;4,00;4,00;;;;;;;;;;;4,18;4;;;;
EXPRESSÃO GRÁFICA ;1614185;2023;Bacharelado ;Curitiba ;Campus  Politécnico;4,64    ;5,00;5,00;5,00;5,00;5,00;5,00;;;;5,00;4,00;5,00;5,00;;;5,00;;;4,00;4,00;;;;;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,88;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;3,59;4;;;;
GESTÃO DA INFORMAÇÃO ;1626408;2023;Bacharelado ;Curitiba ;Campus Jardim Botânico;4,32    ;4,00;4,00;5,00;5,00;2,00;5,00;4,00;;;5,00;5,00;5,00;3,00;4,00;3,00;5,00;5,00;;3,00;5,00;;;;;4,73    ;3,00;4,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;4,00;5,00;5,00;5,00;5,00;3,50;4,00;4,00;;3,00;3,00;3,00;3,00;4,00;4,00;;;;;;;;;4,24;4;;;;
ADMINISTRAÇÃO PÚBLICA;1737165;2022;Bacharelado ;Matinhos ;Campus Litoral;4,24    ;3,00;4,00;4,00;3,00;5,00;5,00;2,00;;;4,00;5,00;5,00;5,00;5,00;5,00;4,00;5,00;;4,00;4,00;;;;;4,80    ;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;3,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;;;;;;;;;;;4,69;5;;;;
GEOGRAFIA ;1776626;2022;Licenciatura ;Matinhos ;Campus Litoral;4,56    ;5,00;5,00;2,00;4,00;3,00;5,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;;;4,00;5,00;5,00;;;5,00;5    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;3,00;3,00;3,00;3,00;;5,00;5,00;4,00;4,00;5,00;5,00;;;;;;;5,00;;4,58;5;;;;
JORNALISMO ;1796552;2022;Bacharelado ;Curitiba ;Campus Juvevê;4,14    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;5,00;5,00;5,00;;;4,00;5,00;;5,00;5,00;;;;;4,78    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,44;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;4,49;4;;;;
Relações Públicas;1796996;2022;Bacharelado;Curitiba;Juvevê;3,94    ;4,00;4,00;5,00;4,00;4,00;4,00;5;;;4;5;4,00;4,00;3;3;4,00;3;;4,00;3,00;;;;;4,00  ;5,00;3;5,00;4,00;4,00;4,00;4;;4;3;3;5;5;3;3;5,00;4,88;5,00;4,00;;;5,00;5,00;5,00;5;5;;;;;;;;;4;4;;;;
MEDICINA ;1818806;2024;Bacharelado ;Toledo ;Campus Toledo;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;5,00;5,00;;4,10;4,00;;4,00;4,00;5,00;5,00;4,00;;3,00;;;5,00;;;;3,00;4,00;4,00;5,00;5,00;5,00;4,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;5,00;4,6;5;;;;
INFORMÁTICA BIOMÉDICA ;1826625;2023;Bacharelado ;Curitiba ;Campus  Politécnico;4,29    ;5,00;5,00;5,00;5,00;5,00;5,00;4,00;;;4,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;3,44    ;4,00;5,00;4,00;4,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,88;5,00;4,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;4,00;;4,88;4;;;;
ENFERMAGEM;1826673;2023;Licenciatura ;Curitiba ;Campus Jardim Botânico;4,60    ;5,00;3,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;3,00;;;5,00;;;5,00;5,00;5,00;5,00;5,00;5,00;4,40    ;3,00;;4,00;5,00;5,00;5,00;5,00;3,00;5,00;;;4,00;;;;5,00;4,40;5,00;5,00;;5,00;5,00;2,00;2,00;;5,00;5,00;;5,00;;;;5,00;;4,46;4;;;;
ARTES ;1826772;2023;Licenciatura ;Matinhos ;Campus Litoral;4,89    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;5,00;;;4,00;;;5,00;5,00;5,00;;;5,00;5    ;5,00;;5,00;5,00;5,00;5,00;;3,00;4,00;;;5,00;;;;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;5,00;4,73;5;;;;
Publicidade e Propaganda;1827244;2022;Bacharelado;Curitiba;Juvevê;4,61    ;5,00;5,00;5,00;4,00;5,00;5,00;4;;;5;5;5,00;5,00;4;4;4,00;4;4;5,00;5,00;;;;;4,93    ;5,00;5,00;5,00;5,00;5,00;5,00;5;;5;5;5;5;5;4;5;5,00;4,78;5,00;5,00;;3,00;5,00;5,00;5,00;5;5;;;;;;;5;;4,19;5;;;;
LETRAS FRANCÊS ;1827583;2023;Bacharelado ;Curitiba ;Campus  Reitoria;4,64    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;5,00;5,00;3,00;;;5,00;;;5,00;5,00;;;;;3,67    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,30;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;4,5;5;;;;
LETRAS FRANCÊS ;1832768;2023;Licenciatura ;Curitiba ;Campus  Reitoria;4,82    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;3,00;;;5,00;;;4,00;5,00;5,00;;;5,00;4,00;4,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;4,40;5,00;5,00;5,00;4,00;4,00;3,00;3,00;5,00;5,00;;;;;;;5,00;;4,2;5;;;;
ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA ;1839914;2023;Bacharelado ;Curitiba ;Campus  Politécnico;4,93    ;5,00;5,00;5,00;5,00;4,00;5,00;5,00;;;4,00;5,00;5,00;4,00;4,00;5,00;4,00;5,00;;5,00;5,00;;;;;4,67    ;5,00;5,00;5,00;5,00;4,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;4,74;5;;;;
LETRAS INGLÊS ;1885061;2023;Bacharelado ;Curitiba ;Campus  Reitoria;4,00    ;3,00;5,00;4,00;4,00;3,00;4,00;;;;4,00;5,00;3,00;3,00;;;4,00;;;5,00;5,00;;;;;4,56    ;2,00;;5,00;4,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,11;5,00;5,00;;5,00;5,00;2,00;2,00;4,00;4,00;;;;;;;5,00;;4,26;4;;;;
ADMINISTRAÇÃO PÚBLICA (EAD) ;1925933;2023;Bacharelado ;Curitiba ;Campus  Reitoria;4,44    ;5,00;5,00;5,00;5,00;5,00;5,00;;;;5,00;2,00;5,00;5,00;4,00;4,00;5,00;5,00;;5,00;5,00;;;;;4,67    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,33;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;4,00;;4,5;4;;;;
CIÊNCIAS AMBIENTAIS ;1927239;2023;Bacharelado ;Matinhos ;Campus Litoral;4,43    ;5,00;5,00;5,00;5,00;4,00;5,00;5,00;;;4,00;5,00;5,00;3,00;;;4,00;;;4,00;3,00;;;;;4,44;5,00;;4,00;4,00;5,00;4,00;5,00;;4,00;;;4,00;;;;5,00;4,00;3,00;4,00;;4,00;5,00;5,00;5,00;3,00;3,00;;;;;;;;;4,31;4;;;;
Oceanografia;2086407;2023;Bacharelado;Pontal do Paraná;Centro de Estudos do Mar;4,79    ;4,00;5,00;5,00;5,00;5,00;5,00;4;;;4;5;5,00;5,00;;;5,00;;;5,00;5,00;;;;;4,33    ;5,00;;4,00;4,00;4,00;4,00;5;;5;;;;;;;4,00;4,90;5,00;5,00;;4,00;5,00;5,00;5,00;5;5;;;;;;;5;5;4,64;5;;;;
GESTÃO AMBIENTAL ;2132808;2023;Bacharelado ;Matinhos ;Campus Litoral;4,31;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;5,00;4,00;5,00;;;4,00;;;5,00;5,00;;;;;4,44    ;3,00;4,00;4,00;4,00;4,00;4,00;4,00;;5,00;;;4,00;;;;5,00;3,00;5,00;4,00;;4,00;5,00;5,00;5,00;4,00;5,00;;;;;;;;;4,36;4;;;;
MEDICINA;2132838;2025;Bacharelado;Curitiba;Complexo Hospital de Clínicas;4,44    ;5,00;5,00;5,00;3,00;3,00;3,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;2,00;;5,00;5,00;;4,44    ;3,00;;5,00;5,00;5,00;4,00;5,00;;5,00;;;5,00;;;;3,00;4,92;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;5,00;4,58;5;;;;
GESTÃO IMOBILIÁRIA ;2149284;2023;Tecnólogo ;Matinhos ;Campus Litoral;4,79    ;5,00;5,00;5,00;5,00;5,00;5,00;;;;4,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;5,00    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,50;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;4,72;5;;;;
LETRAS ITALIANO ;2201840;2023;Bacharelado ;Curitiba ;Campus  Reitoria;3,23    ;5,00;1,00;3,00;4,00;5,00;1,00;;;;4,00;2,00;5,00;5,00;;;4,00;;;2,00;1,00;;;;;3,00;3,00;;3,00;3,00;5,00;3,00;5,00;;5,00;;;4,00;;;;5,00;2,67;2,00;5,00;;3,00;4,00;1,00;1,00;;;;;;;;;;;3,37;3;;;;
FÍSICA ;2251353;2024;Bacharelado ;Curitiba ;Campus  Politécnico;3,77    ;4,00;4,00;4,00;3,00;3,00;4,00;4,00;;;4,00;;4,00;4,00;;;4,00;;;4,00;3,00;;;;;4,22    ;3,00;;4,00;4,00;5,00;3,00;5,00;;5,00;;;4,00;;;;5,00;4,13;5,00;4,00;;4,00;4,00;5,00;5,00;3,00;3,00;;;;;;;;;4,6;4;;;;
GEOLOGIA ;2251355;2025;Bacharelado ;Curitiba ;Campus  Politécnico;4,28    ;5,00;5,00;5,00;5,00;5,00;5,00;4,00;;;4,00;5,00;4,00;5,00;3,00;3,00;5,00;3,00;2,00;4,00;5,00;;;;;4,27    ;4,00;2,00;5,00;5,00;5,00;5,00;5,00;;5,00;4,00;5,00;4,00;5,00;4,00;1,00;5,00;4,56;5,00;4,00;5,00;5,00;4,00;5,00;5,00;4,00;4,00;;;;;;;;;4,36;4;;;;
MATEMÁTICA INDUSTRIAL;2251358;2025;Bacharelado;Curitiba;Campus  Politécnico;4,36    ;4,00;4,00;5,00;4,00;4,00;4,00;4,00;;;4,00;5,00;5,00;5,00;;;5,00;;;4,00;4,00;;;;;4,22    ;3,00;;4,00;4,00;5,00;5,00;5,00;;5,00;;;3,00;;;;4,00;3,57;3,00;3,00;;3,00;4,00;4,00;4,00;4,00;;;;;;;;;;4,07;4;;;;
MÚSICA ;2252861;2024;Bacharelado ;Curitiba ;Campus Batel;5,00    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;4,89;5,00;;5,00;5,00;5,00;5,00;4,00;;5,00;;;5,00;;;;5,00;4,86;4,00;5,00;;5,00;5,00;5,00;5,00;;5,00;;;;;;;;;4,91;5;;;;
LETRAS PORTUGUÊS E POLONÊS ;2254376;2024;Licenciatura ;Curitiba ;Campus  Reitoria;4,88    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;4,00;5,00;4,00;;;5,00;5,00    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,89;5;;;;
MATEMÁTICA ;2254378;2024;Bacharelado ;Curitiba ;Campus  Politécnico;3,00    ;3,00;3,00;4,00;3,00;3,00;3,00;4,00;;;3,00;;3,00;1,00;;;3,00;;;3,00;3,00;;;;;3,67    ;3,00;;4,00;3,00;5,00;4,00;3,00;;4,00;;;4,00;;;;3,00;4,17;5,00;4,00;;2,00;4,00;5,00;5,00;;;;;;;;;;;3,62;4;;;;
LETRAS JAPONÊS ;2254387;2024;Bacharelado ;Curitiba ;Campus  Reitoria;4,85    ;5,00;5,00;5,00;4,00;4,00;5,00;;;;5,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;5,00    ;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;;;5,00;;;;5,00;4,75;5,00;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;5,00;5,00;4,88;5;;;;
LETRAS POLONÊS ;2254917;2024;Bacharelado ;Curitiba ;Campus  Reitoria;4,31;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;4,00;5,00;4,00;;;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;4,71;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,71;5;;;;
